youtubeId,title,description,viewCount,likeCount,dislikeCount,commentCount,duration,favoriteCount
K26_sDKnvMU,Toy Story (1995) Trailer 2 (VHS Capture),Trailer for Toy Story (1995) captured from the The Santa Clause (1994) VHS tape. This tape is labeled 3633 and released in (1994).,110142.0,120.0,0.0,0.0,PT1M31S,0.0
3LPANjHlPxo,Jumanji Trailer 1995,"Jumanji Trailer 1995
Director: Joe Johnston
Starring: Kirsten Dunst, Bebe Neuwirth, Bonnie Hunt, David Alan Grier, Robin Williams, Bradley Michael Pierce

Official Content From Sony Pictures Home Entertainment

After 25 years, a man is finally freed from the spell of an ancient magical board game. But the kids who saved him accidentally unleash a horde of wild jungle animals, threatening their hometown with destruction.

Movie, Jumanji Movie,Jumanji Trailer,Jumanji 1995, Joe Johnston,Kirsten Dunst, Bebe Neuwirth, Bonnie Hunt, David Alan Grier, Robin Williams, Bradley Michael Pierce",188222.0,280.0,0.0,0.0,PT2M48S,0.0
rEnOoWs3FuA,Grumpier Old Men - Trailer,"The more things change, the more they stay the same in Wabasha, Minnesota. The uncatchable fish named Catfish Hunter grows fatter. The wisecracks, zingers and put downs pile up like freshly raked leaves. And GRUMPY OLD MEN become grumpier in the sequel that's ""pure delight, a wonderfully warmhearted comedy"" (David Sheehan, CBS-TV). Grabbing fishing rods and picking up where they left off, JACK LEMMON and WALTER MATTHAU reel in another comedy winner as GRUMPIER OLD MEN. ANN-MARGRET, DARYL HANNAH, KEVIN POLLACK and BURGESS MEREDITH also return to the Land of 10,000 Lakes to reprise their roles. And SOPHIA LOREN is the newcomer whose plan to turn the town's beloved bait shop into a ristorante sends the old boys into a tizzy. Be advised: a tizzy is very contagious. Get ready to laugh. And stay tuned for the outtakes, including ""man-sized manicotti!"" ""Better, funnier and even grumpier than the original.""  - Joel Siegel, GOOD MORNING AMERICA/ABC-TV (c) 1995 Warner Bros. All Rights Reserved MPAA Rating: PG-13  (c) 1995 Warner Bros. All Rights Reserved #Trailer #WB",198257.0,218.0,0.0,0.0,PT1M52S,0.0
j9xml1CxgXI,Waiting To Exhale,"Whitney Houston and Angela Bassett star in this funny and touching film about four women who find strength through their rare and special relationship. Savannah, Bernadine, Robin and Gloria are all searching for the Real Thing: true love. Bernadine thought she had it, until her husband left her for another woman. Savannah and Robin are successful in business but their love lives are bankrupt. And divorcee Gloria is getting back in the game by flirting with her new, very eligible neighbor. Based on Terry McMillan's best-selling novel, and featuring the #1 smash hit ""Exhale (Shoop Shoop),"" ""Waiting to Exhale"" is the film you and your friends have been waiting for!",398417.0,0.0,0.0,0.0,PT2M40S,0.0
,,,,,,,,
2GfZl4kuVNI,Heat Trailer HD (1995),"Director: Michael Mann.
Cast: Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore
Plot: A Los Angeles crime saga, ""Heat"" focuses on the lives of two men on opposite sides of the law - one a detective; the other a thief.",1326954.0,7167.0,0.0,0.0,PT2M28S,0.0
twTksx_lWB4,Sabrina (1995) - Trailer,"A remake of a 1954 Billy Wilder romance, this updated version of the play Sabrina Fair was directed by Sydney Pollack. Julia Ormond stars as Sabrina Fairchild, the daughter of a kindly chauffeur (John Wood) at the Long Island estate of the upper crust Larrabee family. Sabrina has grown up enchanted from afar with the Larrabees' sparkling world of privilege and wealth, but she's especially enamored of younger Larrabee brother David (Greg Kinnear), a charming womanizer. After the once plain Sabrina returns from a sojourn in Paris transformed into a remarkably poised and attractive young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, older brother Linus (Harrison Ford) pretends to woo Sabrina himself, but finds himself unintentionally falling in love.",1581996.0,0.0,0.0,0.0,PT2M50S,0.0
-C-xXZyX2zU,Tom and Huck trailer,A preview for this 90s disney movie. From the Aristocats opening. Thanks to videos4everybody.,191750.0,266.0,0.0,0.0,PT1M,0.0
,,,,,,,,
lcOqUE0u1LM,James Bond 007: GoldenEye - Official® Trailer [HD],"Release Date: November 13, 1995

Pierce Brosnan ignites the screen in his first adventure as the unstoppable James Bond. When a powerful satellite system falls into the hands of a former ally-turned-enemy, only 007 can save the world from an awesome space weapon that - in one short pulse - could destroy the earth!

Cast: Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Gottfried John, Alan Cumming, Tcheky Karyo, Desmond Llewelyn, Samantha Bond, Ravil Isyanov

Studio: Metro-Goldwyn-Mayer
Director: Martin Campbell
Screenwriter: Michael France, Jeffrey Caine, Kevin Wade, Bruce Feirstein
Genre: Action, Crime, Thriller

Official Website: http://www.007.com / https://www.facebook.com/JamesBond007",336290.0,1910.0,0.0,0.0,PT2M52S,0.0
UrC75wUKoFM,The American President 1995 Movie Trailer,"Subscribe to MovieTrailersByVD: http://bit.ly/QcNd7j
More clips, photos, and news: http://bit.ly/Udr8d9

Follow Videodetective.com on facebook http://www.facebook.com/VideoDetective
Follow Videodetective.com on twitter http://twitter.com/VideoDetective

Subscribe to GameTrailersByVD: http://bit.ly/RNaDlR
Subscribe to TVPromosByVD: http://bit.ly/Plupqf
Subscribe to MusicVideosByVD: http://bit.ly/Te5RuH

Director: Rob Reiner
Cast: Annette Bening, David Paymer, Martin Sheen, Michael Douglas, Michael J. Fox, Samantha Mathis
Studio: Sony Pictures Home Entertainment
Rating: PG-13",14963.0,23.0,0.0,0.0,PT2M50S,0.0
tVdn8JH91Dg,Dracula: Dead and Loving It - Trailer,"A comic reinvention of the Bela Lugosi classic about a Transylvanian vampire who works his evil spell on a perplexed group of Londoners. Mel Brooks's Count is a pratfalling evil prince of a guy who believes in long relationships. Brooks portrays vampire hunter Van Helsing, who won't give a bloodsucker an even break. #Trailer #WB",146973.0,0.0,0.0,0.0,PT2M,0.0
,,,,,,,,
dO2LWKpeyI8,NIXON Original Theatrical Trailer,"One of the best film trailers of all time, this was the original theatrical trailer for one of the greatest political dramas of all time, Oliver Stone's 1995 classic NIXON, starring Anthony Hopkins and Joan Allen.",282859.0,848.0,0.0,0.0,PT4M33S,0.0
,,,,,,,,
EJXDMwGWhoA,Casino Official Trailer #1 - (1995) HD,"Casino movie clips: http://j.mp/1JbOasm
BUY THE MOVIE: http://amzn.to/u3En6F
Don't miss the HOTTEST NEW TRAILERS: http://bit.ly/1u2y6pr

CLIP DESCRIPTION:
Sam Rothstein (Robert De Niro) fights his old friend Nicky (Joe Pesci) and his wife Ginger (Sharon Stone) for control of his Las Vegas empire.

FILM DESCRIPTION:
The inner-workings of a corrupt Las Vegas casino are exposed in Martin Scorsese's story of crime and punishment. The film chronicles the lives and times of three characters: ""Ace"" Rothstein (Robert De Niro), a bookmaking wizard; Nicky Santoro (Joe Pesci), a Mafia underboss and longtime best friend to Ace; and Ginger McKenna (Sharon Stone, in a role she was born to play), a leggy ex-prostitute with a fondness for jewelry and a penchant for playing the field. Ace plays by the rules (albeit Vegas rules, which, as he reminds the audience in voiceover, would make him a criminal in any other state), while Nicky and Ginger lie, cheat, and steal their respective ways to the top. The film's first hour and a half details their rise to power, while the second half follows their downfall as the FBI, corrupt government officials, and angry mob bosses pick apart their Camelot piece by piece.

CREDITS:
TM & © Universal (1995)
Cast: Robert De Niro, Alan King, Joe Pesci, James Woods, Sharon Stone
Director: Martin Scorsese
Producers: Barbara De Fina, Joseph P. Reidy
Screenwriters: Nicholas Pileggi, Martin Scorsese

WHO ARE WE?
The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes and lines from all your favorite films. Made by movie fans, for movie fans.

SUBSCRIBE TO OUR MOVIE CHANNELS:
MOVIECLIPS: http://bit.ly/1u2yaWd
ComingSoon: http://bit.ly/1DVpgtR
Indie & Film Festivals: http://bit.ly/1wbkfYg
Hero Central: http://bit.ly/1AMUZwv
Extras: http://bit.ly/1u431fr
Classic Trailers: http://bit.ly/1u43jDe
Pop-Up Trailers: http://bit.ly/1z7EtZR
Movie News: http://bit.ly/1C3Ncd2
Movie Games: http://bit.ly/1ygDV13
Fandango: http://bit.ly/1Bl79ye
Fandango FrontRunners: http://bit.ly/1CggQfC

HIT US UP:
Facebook: http://on.fb.me/1y8M8ax
Twitter: http://bit.ly/1ghOWmt
Pinterest: http://bit.ly/14wL9De
Tumblr: http://bit.ly/1vUwhH7",2230290.0,8667.0,0.0,0.0,PT3M3S,0.0
,,,,,,,,
,,,,,,,,
DfqPjRMsRP0,Ace Ventura: When Nature Calls,"Africa's the place and Ace is on the case, setting out to rescue an animal he loathes: a bat! Jim Carrey (Batman Forever) returns as Ace, the alligator-wrasslin', elephant-calling, monkeyshining, loogie-launching, burning coals-crossing, disguise-mastering pet detective. If you're ready to laugh like a pack of hyenas, if you want more fun than an industrial-sized barrel of monkeys, you know what to do. Heed the call.",75726.0,200.0,0.0,0.0,PT1M59S,0.0
,,,,,,,,
yNLaTtpovys,Get Shorty Official Trailer #1 - Gene Hackman Movie (1995) HD,"Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe
Like us on FACEBOOK: http://goo.gl/dHs73
Follow us on TWITTER: http://bit.ly/1ghOWmt

Get Shorty Trailer - Chili Palmer (John Travolta), a loan shark, visits Hollywood to collect a debt and gets into the movie business. Based on a novel by Elmore Leonard. Also starring Gene Hackman Danny DeVito and Rene Russo

MGM - 1995",329979.0,884.0,0.0,0.0,PT2M35S,0.0
lsmXhM4yfU0,Copycat (1995) trailer,"Trailer for director Jon Amiel's film starring Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.",346087.0,404.0,0.0,0.0,PT2M,0.0
